# 标的中文名：与 diting_symbols.txt 顺序一致，供 B 模块与 L2 展示；采集/akshare 失败时兜底
# name_cn 为交易所常用股票简称；六板块成分股由 make fetch-sector-symbols 从东方财富同步，公司更名请核对后更新
symbol,name_cn
002881.SZ,美格智能
600198.SH,大唐电信
003040.SZ,楚天龙
920045.SZ,蘅东光
300098.SZ,高新兴
300353.SZ,东土科技
300565.SZ,科信技术
688027.SH,国盾量子
600775.SH,南京熊猫
002897.SZ,意华股份
300628.SZ,亿联网络
688100.SH,威胜信息
300689.SZ,澄天伟业
688387.SH,信科移动-U
603421.SH,鼎信通讯
603803.SH,瑞斯康达
301191.SZ,菲菱科思
301205.SZ,联特科技
600355.SH,*ST精伦
600988.SH,赤峰黄金
000426.SZ,兴业银锡
000603.SZ,盛达资源
300139.SZ,晓程科技
002716.SZ,湖南白银
600489.SH,中金黄金
000975.SZ,山金国际
001337.SZ,四川黄金
600547.SH,山东黄金
002155.SZ,湖南黄金
000506.SZ,招金黄金
601069.SH,西部黄金
002237.SZ,恒邦股份
603885.SH,吉祥航空
600115.SH,中国东航
601021.SH,春秋航空
601111.SH,中国国航
600897.SH,厦门空港
002928.SZ,华夏航空
600221.SH,海航控股
600029.SH,南方航空
000089.SZ,深圳机场
600004.SH,白云机场
600515.SH,海南机场
600009.SH,上海机场
000099.SZ,中信海直
900945.SZ,海控B股
